Date,Week_Number,Time,Shift,Personnel,Meter_MGM_m3,Consumo_MGM_m3,Meter_M1_m3,Consumo_M1_m3,Consumo_Total_m3
2026-01-01,1,13:00,N/A,,120263.0,0.0,8684.64,0.0,0.0
2026-01-02,1,13:00,N/A,,120269.0,6.0,8685.85,1.2100000000009459,7.210000000000946
2026-01-03,1,13:00,N/A,,120275.0,6.0,8687.33,1.4799999999995634,7.479999999999563
2026-01-04,2,13:00,N/A,,120280.0,5.0,8692.41,5.079999999999927,10.079999999999927
2026-01-05,2,13:00,N/A,,120290.0,10.0,8707.57,15.159999999999854,25.159999999999854
2026-01-06,2,13:00,N/A,,120313.0,23.0,8714.31,6.739999999999782,29.73999999999978
2026-01-07,2,13:00,N/A,,120334.0,21.0,8723.04,8.730000000001382,29.730000000001382
2026-01-08,2,13:00,N/A,,120362.0,28.0,8729.38,6.3399999999983265,34.33999999999833
2026-01-09,2,13:00,N/A,,120384.0,22.0,8739.7,10.320000000001528,32.32000000000153
2026-01-10,2,13:00,N/A,,120398.0,14.0,8741.89,2.1899999999986903,16.18999999999869
2026-01-11,3,13:00,N/A,,120401.0,3.0,8743.14,1.25,4.25
2026-01-12,3,13:00,N/A,,120406.0,5.0,8754.88,11.739999999999782,16.73999999999978
2026-01-13,3,13:00,N/A,,120444.0,38.0,8758.6,3.720000000001164,41.720000000001164
2026-01-14,3,13:00,N/A,,120482.0,38.0,8761.98,3.3799999999991996,41.3799999999992
2026-01-15,3,13:00,N/A,,120514.0,32.0,8767.0,5.020000000000437,37.02000000000044
2026-01-16,3,13:00,N/A,,120539.0,25.0,8772.01,5.010000000000218,30.01000000000022
2026-01-17,3,13:00,N/A,,120558.0,19.0,8773.43,1.4200000000000728,20.420000000000073
2026-01-18,4,13:00,N/A,,120571.0,13.0,8774.12,0.6900000000005093,13.69000000000051
2026-01-19,4,13:00,N/A,,120596.0,25.0,8775.52,1.3999999999996362,26.399999999999636
2026-01-20,4,13:00,N/A,,120623.0,27.0,8778.4,2.8799999999991996,29.8799999999992
2026-01-21,4,13:00,N/A,,120661.0,38.0,8786.85,8.450000000000728,46.45000000000073
2026-01-22,4,13:00,N/A,,120690.0,29.0,8789.85,3.0,32.0
2026-01-23,4,13:00,N/A,,120721.0,31.0,8796.3,6.449999999998909,37.44999999999891
2026-01-24,4,13:00,N/A,,120756.0,35.0,8806.45,10.150000000001455,45.150000000001455
2026-01-25,5,13:00,N/A,,120760.0,4.0,8810.91,4.459999999999127,8.459999999999127
2026-01-26,5,13:00,N/A,,120797.0,37.0,8815.68,4.770000000000437,41.77000000000044
2026-01-27,5,13:00,N/A,,120827.0,30.0,8820.87,5.190000000000509,35.19000000000051
2026-01-28,5,13:00,N/A,,120857.0,30.0,8826.89,6.019999999998618,36.01999999999862
2026-01-29,5,13:00,N/A,,120888.0,31.0,8833.07,6.180000000000291,37.18000000000029
2026-01-30,5,13:00,N/A,,120910.0,22.0,8839.58,6.510000000000218,28.51000000000022
2026-01-31,5,13:00,N/A,,120928.0,18.0,8844.98,5.399999999999636,23.399999999999636
2026-02-01,6,13:00,N/A,,120937.0,9.0,8849.49,4.510000000000218,13.510000000000218
2026-02-02,6,13:00,N/A,,120946.0,9.0,8853.86,4.3700000000008,13.3700000000008
