Date,Total_Daily_m3,Shift_1_m3,Shift_2_m3,Shift_3_m3
2026-01-01,0,0.0,0.0,0.0
2026-01-02,6,2.8,2.54,0.66
2026-01-03,6,2.88,2.52,0.6
2026-01-04,5,3.47,1.24,0.29
2026-01-05,10,4.82,4.64,0.54
2026-01-06,12,6.99,3.13,1.88
2026-01-07,23,12.55,8.81,1.64
2026-01-08,21,11.33,7.6,2.07
2026-01-09,28,12.19,10.02,5.79
2026-01-10,22,11.08,9.75,1.17
2026-01-11,14,5.4,4.32,4.28
2026-01-12,5,1.72,1.69,1.59
2026-01-13,38,20.08,12.22,5.7
2026-01-14,38,20.31,14.62,3.07
2026-01-15,32,15.69,8.59,7.72
2026-01-16,24,10.82,8.44,4.74
2026-01-17,19,9.27,5.55,4.18
2026-01-18,13,5.17,4.8,3.03
2026-01-19,25,11.75,8.42,4.83
2026-01-20,27,11.23,8.08,7.69
2026-01-21,38,19.29,17.43,1.28
2026-01-22,29,14.39,12.56,2.05
2026-01-23,31,13.67,11.77,5.56
2026-01-24,35,16.64,12.12,6.24
2026-01-25,4,2.6,0.92,0.48
2026-01-26,37,21.67,9.39,5.94
2026-01-27,30,13.12,10.15,6.73
2026-01-28,30,15.53,10.36,4.11
2026-01-29,31,14.36,13.19,3.45
2026-01-30,22,12.6,8.23,1.17
2026-01-31,18,7.31,6.56,4.13
2026-02-01,1,0.56,0.41,0.03
2026-02-02,5,1.96,1.83,1.21
2026-02-03,6,2.15,1.93,1.92
2026-02-04,4,1.44,1.31,1.25
2026-02-05,10,3.95,3.69,2.36
2026-02-06,23,12.52,7.35,3.13
2026-02-07,21,8.12,6.59,6.29
2026-02-08,28,15.68,8.2,4.12
2026-02-09,22,8.68,7.02,6.3
2026-02-10,14,5.0,4.89,4.11
2026-02-11,5,2.18,1.96,0.86
2026-02-12,38,15.8,11.23,10.97
2026-02-13,38,20.08,9.75,8.17
2026-02-14,32,18.06,7.5,6.44
2026-02-15,24,11.39,6.72,5.89
2026-02-16,19,10.42,5.55,3.03
2026-02-17,13,5.16,4.64,3.2
2026-02-18,25,9.45,7.96,7.59
2026-02-19,27,10.36,9.2,7.44
2026-02-20,38,15.71,11.51,10.78
2026-02-21,29,14.67,7.21,7.12
2026-02-22,31,12.78,9.4,8.82
2026-02-23,35,16.57,9.36,9.07
2026-02-24,4,1.46,1.42,1.12
2026-02-25,37,18.04,11.9,7.06
2026-02-26,30,12.22,11.36,6.42
2026-02-27,30,13.62,11.34,5.04
2026-02-28,31,11.83,11.66,7.51
2026-03-01,0,0.0,0.0,0.0
2026-03-02,21,11.53,5.93,3.54
2026-03-03,34,18.42,11.2,4.38
2026-03-04,36,13.78,11.37,10.85
2026-03-05,28,11.52,8.96,7.52
2026-03-06,20,8.74,5.92,5.34
2026-03-07,15,6.78,6.29,1.93
2026-03-08,5,2.16,1.66,1.18
2026-03-09,14,5.03,4.61,4.36
2026-03-10,34,22.01,7.6,4.39
2026-03-11,26,16.89,7.61,1.5
2026-03-12,39,18.91,15.71,4.38
2026-03-13,29,14.28,7.96,6.76
2026-03-14,35,16.73,11.33,6.94
2026-03-15,3,1.48,0.92,0.6
2026-03-16,33,14.07,9.75,9.18
2026-03-17,40,19.33,12.01,8.66
2026-03-18,29,14.93,8.08,5.99
2026-03-19,30,14.92,8.05,7.03
2026-03-20,38,14.01,13.4,10.59
2026-03-21,39,18.66,13.6,6.74
2026-03-22,3,1.63,0.92,0.45
2026-03-23,17,8.63,6.86,1.51
2026-03-24,37,17.2,14.73,5.07
2026-03-25,27,11.75,8.19,7.06
2026-03-26,22,11.95,6.96,3.09
2026-03-27,27,11.53,8.5,6.97
2026-03-28,32,15.65,11.66,4.69
2026-03-29,14,7.86,5.32,0.82
2026-03-30,4,1.69,1.18,1.13
2026-03-31,24,10.02,8.52,5.46
2026-04-01,38,13.88,12.35,11.77
2026-04-02,27,14.86,11.31,0.83
2026-04-03,32,14.31,10.27,7.42
2026-04-04,14,5.49,4.52,3.99
2026-04-05,4,2.37,0.85,0.78
2026-04-06,24,10.87,7.66,5.47
2026-04-07,38,13.91,12.59,11.5
2026-04-08,27,14.51,7.21,5.28
2026-04-09,32,17.47,9.39,5.14
2026-04-10,14,5.81,4.45,3.74
2026-04-11,4,1.86,1.55,0.59
2026-04-12,24,13.62,5.23,5.15
2026-04-13,38,15.76,14.07,8.17
2026-04-14,27,11.12,9.35,6.53
2026-04-15,32,15.74,10.16,6.1
2026-04-16,39,18.84,10.37,9.79
2026-04-17,46,26.49,15.72,3.79
2026-04-18,48,22.42,13.83,11.75
2026-04-19,30,12.55,10.42,7.03
2026-04-20,11,4.45,3.87,2.68
2026-04-21,38,17.41,11.83,8.76
2026-04-22,27,10.46,9.27,7.27
2026-04-23,32,13.43,9.52,9.05
2026-04-24,14,6.46,6.1,1.44
2026-04-25,4,1.68,1.47,0.85
2026-04-26,4,1.86,1.72,0.42
2026-04-27,24,10.59,7.43,5.98
2026-04-28,38,22.67,12.96,2.37
2026-04-29,27,13.89,7.08,6.03
2026-04-30,32,14.11,13.91,3.98
