Date,MGM_01_00,MGM_05_30,MGM_16_00,MGM_21_30,M1_01_00,M1_05_30,M1_16_00,M1_21_30
2026-07-01,124828.0,124835.0,124848.0,124855.0,10591.41,10592.96,10597.2,10594.2
2026-07-02,124855.0,124856.0,124871.0,124878.0,10600.3,10601.9,10605.8,10608.27
2026-07-03,124878.0,124884.0,124896.0,124903.0,10609.19,10610.65,10615.18,10617.74
2026-07-04,124904.0,124907.0,124908.0,124908.0,10618.56,10619.92,10624.19,10652.95
2026-07-05,124909.0,124912.0,124924.0,124928.0,10627.31,10628.61,10632.67,10634.21
2026-07-06,124928.0,124931.0,124946.0,124954.0,10635.73,10637.27,10641.8,10644.39
2026-07-07,124955.0,124958.0,124972.0,124980.0,10645.34,10646.85,10651.7,10654.09
2026-07-08,124981.0,124989.0,125002.0,125011.0,10656.03,10657.01,10661.68,10663.4
2026-07-09,125012.0,125013.0,125026.0,125032.0,10664.7,10666.11,10670.23,10671.77
2026-07-10,125032.0,125035.0,125050.0,125059.0,10673.21,10674.56,10679.7,10682.17
2026-07-11,125059.0,125059.0,125064.0,125066.0,10683.51,10684.95,10689.79,10691.84
2026-07-12,125066.0,125070.0,125074.0,125077.0,10693.28,10694.91,10699.46,10701.44
2026-07-13,125077.0,125081.0,125097.0,125109.0,10703.25,10704.88,10712.67,10715.33
2026-07-14,125109.0,125109.0,12512.0,125128.0,10717.25,10719.04,10727.14,10731.33
2026-07-15,125428.0,125131.0,125140.0,125155.0,10734.63,10737.24,10744.23,10747.39
2026-07-16,125155.0,125155.0,125179.0,125185.0,10748.6,10750.57,10756.25,10759.08
2026-07-17,125187.0,125190.0,125202.0,125210.0,10760.08,10762.47,10768.11,10771.05
2026-07-18,125210.0,125210.0,125217.0,125217.0,10772.74,10775.14,10780.36,10783.35
2026-07-19,125217.0,125221.0,125221.0,125225.0,10784.83,10787.03,10792.14,10794.68
2026-07-20,125225.0,,,,10796.71,,,
2026-07-21,,,,,,,,
2026-07-22,,,,,,,,
2026-07-23,,,,,,,,
2026-07-24,,,,,,,,
2026-07-25,,,,,,,,
2026-07-26,,,,,,,,
2026-07-27,,,,,,,,
2026-07-28,,,,,,,,
2026-07-29,,,,,,,,
2026-07-30,,,,,,,,
2026-07-31,,,,,,,,
