Week_Number,Consumo_MGM_m3,Limite_MGM_m3,Consumo_M1_m3,Limite_M1_m3,Consumo_Total_m3,Limite_Total_m3
1,12.0,118.5,2.6900000000005093,47.5,14.69000000000051,166.0
2,123.0,118.5,54.55999999999949,47.5,177.5599999999995,166.0
3,160.0,118.5,31.540000000000873,47.5,191.54000000000087,166.0
4,198.0,118.5,33.02000000000044,47.5,231.02000000000044,166.0
5,172.0,118.5,38.529999999998836,47.5,210.52999999999884,166.0
6,126.0,118.5,45.81999999999971,47.5,171.8199999999997,166.0
7,155.0,118.5,49.909999999999854,47.5,204.90999999999985,166.0
8,181.0,118.5,115.48000000000138,47.5,296.4800000000014,166.0
9,176.0,118.5,105.92000000000007,47.5,281.9200000000001,166.0
10,186.0,118.5,131.82999999999993,47.5,317.8299999999999,166.0
11,170.0,118.5,139.27999999999884,47.5,309.27999999999884,166.0
12,188.0,118.5,91.19000000000051,47.5,279.1900000000005,166.0
13,193.0,118.5,77.21999999999935,47.5,270.21999999999935,166.0
14,150.0,118.5,91.8700000000008,47.5,241.8700000000008,166.0
15,219.0,118.5,109.3700000000008,47.5,328.3700000000008,166.0
16,222.0,118.5,122.97999999999956,47.5,344.97999999999956,166.0
17,252.0,118.5,77.48999999999978,47.5,329.4899999999998,166.0
18,144.0,118.5,99.93000000000029,47.5,243.9300000000003,166.0
19,144.0,118.5,91.18999999999869,47.5,235.1899999999987,166.0
20,160.0,118.5,53.01000000000022,47.5,213.01000000000022,166.0
21,214.0,118.5,63.720000000001164,47.5,277.72000000000116,166.0
22,203.0,118.5,48.11999999999898,47.5,251.11999999999898,166.0
23,206.0,118.5,46.92000000000007,47.5,252.92000000000007,166.0
24,203.0,118.5,53.75,47.5,256.75,166.0
25,171.0,118.5,54.710000000000946,47.5,225.71000000000095,166.0
26,163.0,118.5,58.5,47.5,221.5,166.0
27,154.0,118.5,59.07999999999993,47.5,213.07999999999993,166.0
28,158.0,118.5,65.88999999999942,47.5,223.88999999999942,166.0
29,151.0,118.5,91.51000000000022,47.5,242.51000000000022,166.0
30,8.0,118.5,13.359999999998763,47.5,21.359999999998763,166.0
31,0.0,118.5,0.0,47.5,0.0,166.0
32,0.0,118.5,0.0,47.5,0.0,166.0
33,0.0,118.5,0.0,47.5,0.0,166.0
34,0.0,118.5,0.0,47.5,0.0,166.0
35,0.0,118.5,0.0,47.5,0.0,166.0
36,0.0,118.5,0.0,47.5,0.0,166.0
37,0.0,118.5,0.0,47.5,0.0,166.0
38,0.0,118.5,0.0,47.5,0.0,166.0
39,0.0,118.5,0.0,47.5,0.0,166.0
40,0.0,118.5,0.0,47.5,0.0,166.0
41,0.0,118.5,0.0,47.5,0.0,166.0
42,0.0,118.5,0.0,47.5,0.0,166.0
43,0.0,118.5,0.0,47.5,0.0,166.0
44,0.0,118.5,0.0,47.5,0.0,166.0
45,0.0,118.5,0.0,47.5,0.0,166.0
46,0.0,118.5,0.0,47.5,0.0,166.0
47,0.0,118.5,0.0,47.5,0.0,166.0
48,0.0,118.5,0.0,47.5,0.0,166.0
49,0.0,118.5,0.0,47.5,0.0,166.0
50,0.0,118.5,0.0,47.5,0.0,166.0
51,0.0,118.5,0.0,47.5,0.0,166.0
52,0.0,118.5,0.0,47.5,0.0,166.0
53,0.0,118.5,0.0,47.5,0.0,166.0
